timestamp,user,ip_address,event_type,status
2026-01-13 12:24:00,sania,192.168.1.10,file_access,success
2026-01-25 19:41:00,john.doe,192.168.1.22,file_access,success
2026-01-05 06:20:00,ali.hassan,192.168.1.10,login,success
2026-01-26 13:01:00,test_user,192.168.1.99,login,success
2026-01-21 10:39:00,test_user,198.51.100.7,login,success
2026-01-20 05:36:00,admin,10.0.0.5,file_access,failed
2026-01-05 15:38:00,john.doe,10.0.0.18,login,success
2026-01-28 11:25:00,sania,203.0.113.45,login,success
2026-01-06 16:20:00,admin,185.220.101.5,password_change,failed
2026-01-14 08:13:00,ali.hassan,192.168.1.22,password_change,failed
2026-01-09 18:01:00,backup_admin,203.0.113.45,password_change,success
2026-01-04 15:09:00,admin,10.0.0.18,login,failed
2026-01-21 15:14:00,sania,198.51.100.7,login,success
2026-01-17 04:03:00,guest,10.0.0.5,login,success
2026-01-29 21:33:00,root,192.168.1.22,password_change,success
2026-01-18 06:27:00,jane.smith,10.0.0.5,logout,success
2026-01-15 18:12:00,test_user,10.0.0.18,file_access,failed
2026-01-15 08:33:00,admin,10.0.0.18,login,failed
2026-01-15 07:42:00,sania,10.0.0.18,password_change,success
2026-01-21 21:11:00,sara.khan,198.51.100.7,file_access,success
2026-01-26 13:09:00,john.doe,10.0.0.18,file_access,success
2026-01-19 04:15:00,backup_admin,198.51.100.7,password_change,success
2026-01-05 03:17:00,john.doe,45.33.32.156,logout,success
2026-01-08 06:44:00,sania,10.0.0.5,file_access,success
2026-01-18 12:16:00,ali.hassan,192.168.1.99,login,success
2026-01-26 04:16:00,sara.khan,45.33.32.156,login,failed
2026-01-25 10:30:00,admin,192.168.1.22,file_access,failed
2026-01-20 18:52:00,guest,192.168.1.22,login,success
2026-01-09 03:08:00,admin,172.16.0.3,password_change,failed
2026-01-24 02:30:00,sania,172.16.0.3,file_access,success
2026-01-25 13:08:00,john.doe,203.0.113.45,login,failed
2026-01-15 18:03:00,test_user,192.168.1.10,password_change,success
2026-01-11 21:32:00,sania,203.0.113.45,login,success
2026-01-23 02:49:00,backup_admin,192.168.1.22,login,failed
2026-01-22 15:08:00,test_user,10.0.0.5,login,failed
